date,lake,Tmin
01/02/2023,Amela,17.1
01/02/2023,Yuriria,6
01/02/2023,Zempoala,-1.1
01/03/2023,Chapala,15.7
01/03/2023,Amela,18.4
01/03/2023,Yuriria,9.3
01/03/2023,Zempoala,0.6
01/04/2023,Chapala,17.5
01/04/2023,Amela,20.5
01/04/2023,Yuriria,11.5
01/04/2023,Zempoala,2.5
01/05/2023,Chapala,18.95714286
01/05/2023,Amela,23.42105263
01/05/2023,Yuriria,13.86666667
01/05/2023,Zempoala,8.65
01/06/2023,Chapala,20.6
01/06/2023,Amela,23.9
01/06/2023,Yuriria,15.7
01/06/2023,Zempoala,7.2
01/07/2023,Chapala,17.1
01/07/2023,Amela,23
01/07/2023,Yuriria,13
01/07/2023,Zempoala,4.8
01/08/2023,Chapala,18.5
01/08/2023,Amela,24.1
01/08/2023,Yuriria,14.2
01/08/2023,Zempoala,11.1
01/09/2023,Chapala,18.53214286
01/09/2023,Amela,24.36666667
01/09/2023,Yuriria,13.71666667
01/09/2023,Zempoala,7.457142857
01/10/2023,Chapala,17.3
01/10/2023,Amela,23.9
01/10/2023,Yuriria,13
01/10/2023,Zempoala,7.1
01/11/2023,Chapala,16.1
01/11/2023,Amela,23.1
01/11/2023,Yuriria,11.1
01/11/2023,Zempoala,5.2
01/12/2023,Chapala,13
01/12/2023,Amela,21
01/12/2023,Yuriria,8.8
01/12/2023,Zempoala,0.5
01/01/2024,Chapala,13.9
01/01/2024,Amela,19.1
01/01/2024,Yuriria,5.9
01/01/2024,Zempoala,0.2
01/02/2024,Chapala,14
01/02/2024,Amela,19.6
01/02/2024,Yuriria,6.2
01/02/2024,Zempoala,-1.8
01/03/2024,Chapala,15.7
01/03/2024,Amela,17
01/03/2024,Yuriria,8.2
01/03/2024,Zempoala,-1
01/04/2024,Chapala,17.7
01/04/2024,Amela,19.4
01/04/2024,Yuriria,12.6
01/04/2024,Zempoala,2.4
01/05/2024,Chapala,19.9
01/05/2024,Amela,20.3
01/05/2024,Yuriria,15.5
01/05/2024,Zempoala,5.2
01/06/2024,Chapala,20.2
01/06/2024,Amela,23.5
01/06/2024,Yuriria,15
01/06/2024,Zempoala,7.3
01/07/2024,Chapala,18.31666667
01/07/2024,Amela,24.53448276
01/07/2024,Yuriria,14.43548387
01/07/2024,Zempoala,9.068965517
01/08/2024,Chapala,18
01/08/2024,Amela,25.2
01/08/2024,Yuriria,14
01/08/2024,Zempoala,9.3
01/09/2024,Chapala,18.7
01/09/2024,Amela,24.6
01/09/2024,Yuriria,14.6
01/09/2024,Zempoala,10.1
01/10/2024,Chapala,16.1
01/10/2024,Amela,23.7
01/10/2024,Yuriria,12.1
01/10/2024,Zempoala,6.1
01/11/2024,Chapala,16.1
01/11/2024,Amela,23.1
01/11/2024,Yuriria,9.8
01/11/2024,Zempoala,1.7
01/12/2024,Chapala,13.9
01/12/2024,Amela,21.3
01/12/2024,Yuriria,6.1
01/12/2024,Zempoala,-0.1
01/01/2025,Chapala,13.2
01/01/2025,Amela,18.6
01/01/2025,Yuriria,6.5
01/01/2025,Zempoala,1
01/02/2025,Chapala,14.9
01/02/2025,Amela,19.3
01/02/2025,Yuriria,7.5
01/02/2025,Zempoala,3.3
01/03/2025,Chapala,15.2
01/03/2025,Amela,18.5
01/03/2025,Yuriria,8.4
01/03/2025,Zempoala,6.8
01/04/2025,Chapala,16.4
01/04/2025,Amela,18.5
01/04/2025,Yuriria,9.1
01/04/2025,Zempoala,7.4
01/05/2025,Chapala,18.3
01/05/2025,Amela,23.6
01/05/2025,Yuriria,14
01/05/2025,Zempoala,9.7
01/06/2025,Chapala,18.3
01/06/2025,Amela,24.7
01/06/2025,Yuriria,13.5
01/06/2025,Zempoala,9.6
01/07/2025,Chapala,17.4
01/07/2025,Amela,24
01/07/2025,Yuriria,13.3
01/07/2025,Zempoala,8.7
01/08/2025,Chapala,17.1
01/08/2025,Amela,23.9
01/08/2025,Yuriria,13.9
01/08/2025,Zempoala,8.9
01/09/2025,Chapala,18.1
01/09/2025,Amela,24
01/09/2025,Yuriria,15.1
01/09/2025,Zempoala,9.2
